student_id,course_id,exam_id,exam_result,minutes_watched,exam_category,exam_completion_time,exam_duration
258803,14,408,83,62.6,2,3.38,10
258803,14,408,83,43.6,2,3.38,10
258803,14,408,83,86.8,2,3.38,10
258803,14,408,83,42.9,2,3.38,10
258803,14,408,83,21.4,2,3.38,10
258803,14,408,83,52.8,2,3.38,10
258803,14,408,83,28.3,2,3.38,10
258803,14,408,83,19.3,2,3.38,10
258803,14,408,83,37.9,2,3.38,10
258803,14,408,83,0.7,2,3.38,10
258803,14,408,83,67.1,2,3.38,10
258803,14,408,83,1.6,2,3.38,10
258803,14,408,83,6.8,2,3.38,10
258803,16,408,83,6.9,2,3.38,10
258803,19,408,83,52,2,3.38,10
258803,19,408,83,44.7,2,3.38,10
258803,19,408,83,3.5,2,3.38,10
258803,19,408,83,0.1,2,3.38,10
258803,19,408,83,41,2,3.38,10
258818,2,408,100,6.7,2,0.65,10
258818,2,408,50,6.7,2,2.35,10
258818,2,402,100,6.7,2,4.23,16
258818,2,401,67,6.7,2,9,15
258818,2,408,100,0.2,2,0.65,10
258818,2,408,50,0.2,2,2.35,10
258818,2,402,100,0.2,2,4.23,16
258818,2,401,67,0.2,2,9,15
258818,2,408,100,18,2,0.65,10
258818,2,408,50,18,2,2.35,10
258818,2,402,100,18,2,4.23,16
258818,2,401,67,18,2,9,15
258818,2,408,100,51.9,2,0.65,10
258818,2,408,50,51.9,2,2.35,10
258818,2,402,100,51.9,2,4.23,16
258818,2,401,67,51.9,2,9,15
258818,2,408,100,0.4,2,0.65,10
258818,2,408,50,0.4,2,2.35,10
258818,2,402,100,0.4,2,4.23,16
258818,2,401,67,0.4,2,9,15
258818,2,408,100,7.1,2,0.65,10
258818,2,408,50,7.1,2,2.35,10
258818,2,402,100,7.1,2,4.23,16
258818,2,401,67,7.1,2,9,15
258818,2,408,100,12.3,2,0.65,10
258818,2,408,50,12.3,2,2.35,10
258818,2,402,100,12.3,2,4.23,16
258818,2,401,67,12.3,2,9,15
258818,2,408,100,5.8,2,0.65,10
258818,2,408,50,5.8,2,2.35,10
258818,2,402,100,5.8,2,4.23,16
258818,2,401,67,5.8,2,9,15
258818,2,408,100,24,2,0.65,10
258818,2,408,50,24,2,2.35,10
258818,2,402,100,24,2,4.23,16
258818,2,401,67,24,2,9,15
258818,2,408,100,30.5,2,0.65,10
258818,2,408,50,30.5,2,2.35,10
258818,2,402,100,30.5,2,4.23,16
258818,2,401,67,30.5,2,9,15
258818,2,408,100,18.5,2,0.65,10
258818,2,408,50,18.5,2,2.35,10
258818,2,402,100,18.5,2,4.23,16
258818,2,401,67,18.5,2,9,15
258818,2,408,100,19.4,2,0.65,10
258818,2,408,50,19.4,2,2.35,10
258818,2,402,100,19.4,2,4.23,16
258818,2,401,67,19.4,2,9,15
258818,3,408,100,27.6,2,0.65,10
258818,3,408,50,27.6,2,2.35,10
258818,3,402,100,27.6,2,4.23,16
258818,3,401,67,27.6,2,9,15
258818,3,408,100,69.1,2,0.65,10
258818,3,408,50,69.1,2,2.35,10
258818,3,402,100,69.1,2,4.23,16
258818,3,401,67,69.1,2,9,15
258818,3,408,100,8.7,2,0.65,10
258818,3,408,50,8.7,2,2.35,10
258818,3,402,100,8.7,2,4.23,16
258818,3,401,67,8.7,2,9,15
258818,4,408,100,34.7,2,0.65,10
258818,4,408,50,34.7,2,2.35,10
258818,4,402,100,34.7,2,4.23,16
258818,4,401,67,34.7,2,9,15
258818,4,408,100,18.6,2,0.65,10
258818,4,408,50,18.6,2,2.35,10
258818,4,402,100,18.6,2,4.23,16
258818,4,401,67,18.6,2,9,15
258818,4,408,100,27.2,2,0.65,10
258818,4,408,50,27.2,2,2.35,10
258818,4,402,100,27.2,2,4.23,16
258818,4,401,67,27.2,2,9,15
258818,4,408,100,27.3,2,0.65,10
258818,4,408,50,27.3,2,2.35,10
258818,4,402,100,27.3,2,4.23,16
258818,4,401,67,27.3,2,9,15
258818,4,408,100,10.2,2,0.65,10
258818,4,408,50,10.2,2,2.35,10
258818,4,402,100,10.2,2,4.23,16
258818,4,401,67,10.2,2,9,15
258818,4,408,100,15.8,2,0.65,10
258818,4,408,50,15.8,2,2.35,10
258818,4,402,100,15.8,2,4.23,16
258818,4,401,67,15.8,2,9,15
258818,4,408,100,18.1,2,0.65,10
258818,4,408,50,18.1,2,2.35,10
258818,4,402,100,18.1,2,4.23,16
258818,4,401,67,18.1,2,9,15
258818,4,408,100,17,2,0.65,10
258818,4,408,50,17,2,2.35,10
258818,4,402,100,17,2,4.23,16
258818,4,401,67,17,2,9,15
258818,4,408,100,13.4,2,0.65,10
258818,4,408,50,13.4,2,2.35,10
258818,4,402,100,13.4,2,4.23,16
258818,4,401,67,13.4,2,9,15
258818,4,408,100,32.9,2,0.65,10
258818,4,408,50,32.9,2,2.35,10
258818,4,402,100,32.9,2,4.23,16
258818,4,401,67,32.9,2,9,15
258818,4,408,100,29.4,2,0.65,10
258818,4,408,50,29.4,2,2.35,10
258818,4,402,100,29.4,2,4.23,16
258818,4,401,67,29.4,2,9,15
258818,13,408,100,13.9,2,0.65,10
258818,13,408,50,13.9,2,2.35,10
258818,13,402,100,13.9,2,4.23,16
258818,13,401,67,13.9,2,9,15
258818,13,408,100,3,2,0.65,10
258818,13,408,50,3,2,2.35,10
258818,13,402,100,3,2,4.23,16
258818,13,401,67,3,2,9,15
258818,14,408,100,10.5,2,0.65,10
258818,14,408,50,10.5,2,2.35,10
258818,14,402,100,10.5,2,4.23,16
258818,14,401,67,10.5,2,9,15
258818,14,408,100,34.6,2,0.65,10
258818,14,408,50,34.6,2,2.35,10
258818,14,402,100,34.6,2,4.23,16
258818,14,401,67,34.6,2,9,15
258818,14,408,100,30.5,2,0.65,10
258818,14,408,50,30.5,2,2.35,10
258818,14,402,100,30.5,2,4.23,16
258818,14,401,67,30.5,2,9,15
258818,14,408,100,43.6,2,0.65,10
258818,14,408,50,43.6,2,2.35,10
258818,14,402,100,43.6,2,4.23,16
258818,14,401,67,43.6,2,9,15
258818,14,408,100,27.1,2,0.65,10
258818,14,408,50,27.1,2,2.35,10
258818,14,402,100,27.1,2,4.23,16
258818,14,401,67,27.1,2,9,15
258818,14,408,100,45,2,0.65,10
258818,14,408,50,45,2,2.35,10
258818,14,402,100,45,2,4.23,16
258818,14,401,67,45,2,9,15
258818,14,408,100,14.4,2,0.65,10
258818,14,408,50,14.4,2,2.35,10
258818,14,402,100,14.4,2,4.23,16
258818,14,401,67,14.4,2,9,15
258818,14,408,100,19,2,0.65,10
258818,14,408,50,19,2,2.35,10
258818,14,402,100,19,2,4.23,16
258818,14,401,67,19,2,9,15
258818,14,408,100,9.2,2,0.65,10
258818,14,408,50,9.2,2,2.35,10
258818,14,402,100,9.2,2,4.23,16
258818,14,401,67,9.2,2,9,15
258818,14,408,100,28.2,2,0.65,10
258818,14,408,50,28.2,2,2.35,10
258818,14,402,100,28.2,2,4.23,16
258818,14,401,67,28.2,2,9,15
258818,14,408,100,18.8,2,0.65,10
258818,14,408,50,18.8,2,2.35,10
258818,14,402,100,18.8,2,4.23,16
258818,14,401,67,18.8,2,9,15
258818,14,408,100,18.6,2,0.65,10
258818,14,408,50,18.6,2,2.35,10
258818,14,402,100,18.6,2,4.23,16
258818,14,401,67,18.6,2,9,15
258818,14,408,100,39.8,2,0.65,10
258818,14,408,50,39.8,2,2.35,10
258818,14,402,100,39.8,2,4.23,16
258818,14,401,67,39.8,2,9,15
258818,14,408,100,19.5,2,0.65,10
