student_id,exam_result,course_id,course_title,engagement_quizzes,engagement_exams,engagement_lessons
258803,83,19,"SQL + Tableau + Python",0,1,1
258803,83,19,"SQL + Tableau + Python",0,1,1
258803,83,19,"SQL + Tableau + Python",0,1,1
258803,83,19,"SQL + Tableau + Python",0,1,1
258803,83,19,"SQL + Tableau + Python",0,1,1
258803,83,16,"Python Programmer Bootcamp",0,1,1
258803,83,14,SQL,0,1,1
258803,83,14,SQL,0,1,1
258803,83,14,SQL,0,1,1
258803,83,14,SQL,0,1,1
258803,83,14,SQL,0,1,1
258803,83,14,SQL,0,1,1
258803,83,14,SQL,0,1,1
258803,83,14,SQL,0,1,1
258803,83,14,SQL,0,1,1
258803,83,14,SQL,0,1,1
258803,83,14,SQL,0,1,1
258803,83,14,SQL,0,1,1
258803,83,14,SQL,0,1,1
258815,0,23,"Introduction to Excel",0,1,1
258815,67,23,"Introduction to Excel",0,1,1
258815,100,23,"Introduction to Excel",0,1,1
258815,0,23,"Introduction to Excel",0,1,1
258822,0,7,"Introduction to Data and Data Science",0,1,1
258822,0,7,"Introduction to Data and Data Science",0,1,1
258822,0,21,Statistics,0,1,1
258822,0,21,Statistics,0,1,1
258822,0,21,Statistics,0,1,1
258822,0,21,Statistics,0,1,1
258822,0,21,Statistics,0,1,1
258822,0,21,Statistics,0,1,1
258822,0,21,Statistics,0,1,1
258822,0,21,Statistics,0,1,1
258822,0,21,Statistics,0,1,1
258822,0,21,Statistics,0,1,1
258822,0,21,Statistics,0,1,1
258822,0,21,Statistics,0,1,1
258822,0,21,Statistics,0,1,1
258822,0,21,Statistics,0,1,1
258822,0,21,Statistics,0,1,1
258822,0,21,Statistics,0,1,1
258822,0,21,Statistics,0,1,1
258822,0,21,Statistics,0,1,1
258822,0,16,"Python Programmer Bootcamp",0,1,1
258822,0,16,"Python Programmer Bootcamp",0,1,1
258822,0,16,"Python Programmer Bootcamp",0,1,1
258822,0,16,"Python Programmer Bootcamp",0,1,1
258822,0,7,"Introduction to Data and Data Science",0,1,1
258822,0,7,"Introduction to Data and Data Science",0,1,1
258822,0,7,"Introduction to Data and Data Science",0,1,1
258822,0,7,"Introduction to Data and Data Science",0,1,1
258822,0,5,"Data Preprocessing with NumPy",0,1,1
258822,0,5,"Data Preprocessing with NumPy",0,1,1
258862,50,24,Probability,0,1,1
258862,50,24,Probability,0,1,1
258862,50,24,Probability,0,1,1
258862,50,24,Probability,0,1,1
258862,50,24,Probability,0,1,1
258862,50,24,Probability,0,1,1
258862,50,24,Probability,0,1,1
258862,50,24,Probability,0,1,1
258862,50,24,Probability,0,1,1
258862,50,24,Probability,0,1,1
258862,50,24,Probability,0,1,1
258862,50,24,Probability,0,1,1
