student_id,exam_result,course_id,course_title,engagement_quizzes,engagement_exams,engagement_lessons
259088,33,7,"Introduction to Data and Data Science",1,0,0
259088,33,23,"Introduction to Excel",1,0,0
259088,33,23,"Introduction to Excel",1,0,0
259088,33,23,"Introduction to Excel",1,0,0
259088,50,7,"Introduction to Data and Data Science",1,0,0
259088,50,23,"Introduction to Excel",1,0,0
259088,50,23,"Introduction to Excel",1,0,0
259088,50,23,"Introduction to Excel",1,0,0
259088,67,7,"Introduction to Data and Data Science",1,0,0
259088,67,23,"Introduction to Excel",1,0,0
259088,67,23,"Introduction to Excel",1,0,0
259088,67,23,"Introduction to Excel",1,0,0
259088,83,7,"Introduction to Data and Data Science",1,0,0
259088,83,23,"Introduction to Excel",1,0,0
259088,83,23,"Introduction to Excel",1,0,0
259088,83,23,"Introduction to Excel",1,0,0
259088,83,7,"Introduction to Data and Data Science",1,0,0
259088,83,23,"Introduction to Excel",1,0,0
259088,83,23,"Introduction to Excel",1,0,0
259088,83,23,"Introduction to Excel",1,0,0
259088,83,7,"Introduction to Data and Data Science",1,0,0
259088,83,23,"Introduction to Excel",1,0,0
259088,83,23,"Introduction to Excel",1,0,0
259088,83,23,"Introduction to Excel",1,0,0
259088,83,7,"Introduction to Data and Data Science",1,0,0
259088,83,23,"Introduction to Excel",1,0,0
259088,83,23,"Introduction to Excel",1,0,0
259088,83,23,"Introduction to Excel",1,0,0
259088,100,7,"Introduction to Data and Data Science",1,0,0
259088,100,23,"Introduction to Excel",1,0,0
259088,100,23,"Introduction to Excel",1,0,0
259088,100,23,"Introduction to Excel",1,0,0
259088,17,7,"Introduction to Data and Data Science",1,0,0
259088,17,23,"Introduction to Excel",1,0,0
259088,17,23,"Introduction to Excel",1,0,0
259088,17,23,"Introduction to Excel",1,0,0
259088,83,7,"Introduction to Data and Data Science",1,0,0
259088,83,23,"Introduction to Excel",1,0,0
259088,83,23,"Introduction to Excel",1,0,0
259088,83,23,"Introduction to Excel",1,0,0
259088,100,7,"Introduction to Data and Data Science",1,0,0
259088,100,23,"Introduction to Excel",1,0,0
259088,100,23,"Introduction to Excel",1,0,0
259088,100,23,"Introduction to Excel",1,0,0
261788,83,7,"Introduction to Data and Data Science",1,0,0
261788,83,24,Probability,1,0,0
261788,83,24,Probability,1,0,0
261788,83,21,Statistics,1,0,0
261788,83,13,"Data Analysis with Excel Pivot Tables",1,0,0
261788,83,7,"Introduction to Data and Data Science",1,0,0
261788,100,7,"Introduction to Data and Data Science",1,0,0
261788,100,24,Probability,1,0,0
261788,100,24,Probability,1,0,0
261788,100,21,Statistics,1,0,0
261788,100,13,"Data Analysis with Excel Pivot Tables",1,0,0
261788,100,7,"Introduction to Data and Data Science",1,0,0
261788,67,7,"Introduction to Data and Data Science",1,0,0
261788,67,24,Probability,1,0,0
261788,67,24,Probability,1,0,0
261788,67,21,Statistics,1,0,0
261788,67,13,"Data Analysis with Excel Pivot Tables",1,0,0
261788,67,7,"Introduction to Data and Data Science",1,0,0
261788,83,7,"Introduction to Data and Data Science",1,0,0
261788,83,24,Probability,1,0,0
261788,83,24,Probability,1,0,0
261788,83,21,Statistics,1,0,0
261788,83,13,"Data Analysis with Excel Pivot Tables",1,0,0
261788,83,7,"Introduction to Data and Data Science",1,0,0
265415,0,46,"Data Literacy",1,0,0
265415,0,46,"Data Literacy",1,0,0
265415,0,46,"Data Literacy",1,0,0
265415,0,46,"Data Literacy",1,0,0
265415,0,46,"Data Literacy",1,0,0
265415,0,46,"Data Literacy",1,0,0
265415,0,42,"Data Strategy",1,0,0
265415,0,42,"Data Strategy",1,0,0
265415,0,42,"Data Strategy",1,0,0
265415,0,42,"Data Strategy",1,0,0
265415,0,42,"Data Strategy",1,0,0
265415,0,39,"Advanced Microsoft Excel",1,0,0
265415,0,39,"Advanced Microsoft Excel",1,0,0
265415,0,39,"Advanced Microsoft Excel",1,0,0
265415,0,39,"Advanced Microsoft Excel",1,0,0
265415,0,39,"Advanced Microsoft Excel",1,0,0
265415,0,24,Probability,1,0,0
265415,0,24,Probability,1,0,0
265415,0,24,Probability,1,0,0
265415,0,24,Probability,1,0,0
265415,0,24,Probability,1,0,0
265415,0,24,Probability,1,0,0
265415,0,24,Probability,1,0,0
265415,0,24,Probability,1,0,0
265415,0,24,Probability,1,0,0
265415,0,24,Probability,1,0,0
265415,0,23,"Introduction to Excel",1,0,0
265415,0,23,"Introduction to Excel",1,0,0
